# Radius (nm), Energy
8.512024048096192480e-08,1.454762346156805546e-02
8.531863727454909819e-08,1.444637375775504815e-02
8.551703406813627158e-08,1.434606145932115426e-02
8.571543086172344498e-08,1.424667574279191162e-02
8.591382765531061837e-08,1.414820593431127642e-02
8.611222444889779176e-08,1.405064150723422250e-02
8.631062124248496516e-08,1.395397207976348600e-02
8.650901803607213855e-08,1.385818741262959813e-02
8.670741482965931194e-08,1.376327740681325233e-02
8.690581162324648534e-08,1.366923210130919705e-02
8.710420841683365873e-08,1.357604167093077845e-02
8.730260521042083212e-08,1.348369642415429490e-02
8.750100200400801875e-08,1.339218680100237244e-02
8.769939879759519215e-08,1.330150337096557174e-02
8.789779559118236554e-08,1.321163683096140094e-02
8.809619238476953893e-08,1.312257800333006472e-02
8.829458917835671233e-08,1.303431783386612558e-02
8.849298597194388572e-08,1.294684738988540959e-02
8.869138276553105911e-08,1.286015785832641742e-02
8.888977955911823251e-08,1.277424054388556253e-02
8.908817635270540590e-08,1.268908686718555473e-02
8.928657314629257929e-08,1.260468836297628376e-02
8.948496993987975269e-08,1.252103667836752116e-02
8.968336673346692608e-08,1.243812357109285414e-02
8.988176352705409947e-08,1.235594090780417660e-02
9.008016032064127287e-08,1.227448066239619946e-02
9.027855711422845949e-08,1.219373491436032304e-02
9.047695390781563289e-08,1.211369584716735781e-02
9.067535070140280628e-08,1.203435574667843788e-02
9.087374749498997967e-08,1.195570699958368142e-02
9.107214428857715307e-08,1.187774209186797866e-02
9.127054108216432646e-08,1.180045360730339575e-02
9.146893787575149985e-08,1.172383422596770010e-02
9.166733466933867325e-08,1.164787672278846421e-02
9.186573146292584664e-08,1.157257396611227444e-02
9.206412825651302003e-08,1.149791891629856240e-02
9.226252505010019343e-08,1.142390462433755423e-02
9.246092184368736682e-08,1.135052423049191794e-02
9.265931863727454021e-08,1.127777096296160401e-02
9.285771543086171361e-08,1.120563813657147328e-02
9.305611222444890024e-08,1.113411915148125944e-02
9.325450901803607363e-08,1.106320749191744800e-02
9.345290581162324702e-08,1.099289672492661379e-02
9.365130260521042042e-08,1.092318049914988397e-02
9.384969939879759381e-08,1.085405254361806321e-02
9.404809619238476720e-08,1.078550666656704835e-02
9.424649298597194060e-08,1.071753675427315408e-02
9.444488977955911399e-08,1.065013676990796999e-02
9.464328657314628738e-08,1.058330075241238101e-02
9.484168336673346078e-08,1.051702281538938882e-02
9.504008016032063417e-08,1.045129714601539424e-02
9.523847695390780756e-08,1.038611800396956747e-02
9.543687374749498096e-08,1.032147972038100804e-02
9.563527054108215435e-08,1.025737669679333344e-02
9.583366733466934098e-08,1.019380340414635482e-02
9.603206412825651437e-08,1.013075438177461242e-02
9.623046092184368777e-08,1.006822423642231117e-02
9.642885771543086116e-08,1.000620764127450879e-02
9.662725450901803455e-08,9.944699335004135096e-03
9.682565130260520795e-08,9.883694120834641064e-03
9.702404809619238134e-08,9.823186865617910060e-03
9.722244488977955473e-08,9.763172498927219500e-03
9.742084168336672813e-08,9.703646012164949403e-03
9.761923847695390152e-08,9.644602457684746388e-03
9.781763527054107491e-08,9.586036947927929763e-03
9.801603206412824831e-08,9.527944654573827429e-03
9.821442885771542170e-08,9.470320807703842131e-03
9.841282565130259509e-08,9.413160694978954871e-03
9.861122244488978172e-08,9.356459660830429570e-03
9.880961923847695511e-08,9.300213105663531626e-03
9.900801603206412851e-08,9.244416485073935971e-03
9.920641282565130190e-08,9.189065309076677179e-03
9.940480961923847529e-08,9.134155141347381421e-03
9.960320641282564869e-08,9.079681598475563414e-03
9.980160320641282208e-08,9.025640349229769807e-03
9.999999999999999547e-08,8.972027113834369488e-03
