R_values,D1_avg
1.169237350021138582e+02,2.127309604874227282e-04
1.171201878679458872e+02,2.111512121657476153e-04
1.173166407337779304e+02,2.095858132789246535e-04
1.175130935996099595e+02,2.080346097833490394e-04
1.177095464654419885e+02,2.064974495427018765e-04
1.179059993312740318e+02,2.049741823012059434e-04
1.181024521971060608e+02,2.034646596573001537e-04
1.182989050629380898e+02,2.019687350377247931e-04
1.184953579287701331e+02,2.004862636720118954e-04
1.186918107946021621e+02,1.990171025673732235e-04
1.188882636604341911e+02,1.975611104839778028e-04
1.190847165262662202e+02,1.961181479106145103e-04
1.192811693920982634e+02,1.946880770407312335e-04
1.194776222579302924e+02,1.932707617488456668e-04
1.196740751237623215e+02,1.918660675673194516e-04
1.198705279895943647e+02,1.904738616634915930e-04
1.200669808554263938e+02,1.890940128171641891e-04
1.202634337212584228e+02,1.877263913984332337e-04
1.204598865870904518e+02,1.863708693458609978e-04
1.206563394529224951e+02,1.850273201449821278e-04
1.208527923187545241e+02,1.836956188071395312e-04
1.210492451845865531e+02,1.823756418486423790e-04
1.212456980504185964e+02,1.810672672702429717e-04
1.214421509162506254e+02,1.797703745369261534e-04
1.216386037820826544e+02,1.784848445580051221e-04
1.218350566479146977e+02,1.772105596675201654e-04
1.220315095137467267e+02,1.759474036049346851e-04
1.222279623795787558e+02,1.746952614961220585e-04
1.224244152454107848e+02,1.734540198346411146e-04
1.226208681112428280e+02,1.722235664632929875e-04
1.228173209770748571e+02,1.710037905559567192e-04
1.230137738429068861e+02,1.697945825996967242e-04
1.232102267087389293e+02,1.685958343771396266e-04
1.234066795745709584e+02,1.674074389491154503e-04
1.236031324404029874e+02,1.662292906375575560e-04
1.237995853062350164e+02,1.650612850086588827e-04
1.239960381720670597e+02,1.639033188562791005e-04
1.241924910378990887e+02,1.627552901855992059e-04
