R_values,C3
3.479279279279279458e-08,-2.130211404321373514e-01
3.489189189189189224e-08,-2.112112382992540893e-01
3.499099099099098990e-08,-2.094217816507221996e-01
3.509009009009009418e-08,-2.076524825979962630e-01
3.518918918918919184e-08,-2.059030581033017004e-01
3.528828828828828950e-08,-2.041732298845460036e-01
3.538738738738738716e-08,-2.024627243223555695e-01
3.548648648648648482e-08,-2.007712723691832402e-01
3.558558558558558910e-08,-1.990986094604347001e-01
3.568468468468468676e-08,-1.974444754275647695e-01
3.578378378378378443e-08,-1.958086144130923856e-01
3.588288288288288209e-08,-1.941907747874893342e-01
3.598198198198198637e-08,-1.925907090678943279e-01
3.608108108108108403e-08,-1.910081738386089079e-01
3.618018018018018169e-08,-1.894429296733296519e-01
3.627927927927927935e-08,-1.878947410590761924e-01
3.637837837837837701e-08,-1.863633763217720507e-01
3.647747747747748129e-08,-1.848486075534384598e-01
3.657657657657657895e-08,-1.833502105409623717e-01
3.667567567567567661e-08,-1.818679646963992924e-01
3.677477477477477427e-08,-1.804016529887754461e-01
3.687387387387387194e-08,-1.789510618773517414e-01
3.697297297297297621e-08,-1.775159812463149300e-01
3.707207207207207388e-08,-1.760962043408621780e-01
3.717117117117117154e-08,-1.746915277046442450e-01
3.727027027027026920e-08,-1.733017511185366566e-01
3.736936936936937348e-08,-1.719266775407058967e-01
3.746846846846847114e-08,-1.705661130479408649e-01
3.756756756756756880e-08,-1.692198667782184585e-01
3.766666666666666646e-08,-1.678877508744754388e-01
3.776576576576576412e-08,-1.665695804295572735e-01
3.786486486486486840e-08,-1.652651734323165589e-01
3.796396396396396606e-08,-1.639743507148345159e-01
3.806306306306306373e-08,-1.626969359007382210e-01
3.816216216216216139e-08,-1.614327553545892024e-01
3.826126126126126567e-08,-1.601816381323179495e-01
3.836036036036036333e-08,-1.589434159326803264e-01
3.845945945945946099e-08,-1.577179230497112727e-01
3.855855855855855865e-08,-1.565049963261546384e-01
3.865765765765765631e-08,-1.553044751078448971e-01
3.875675675675676059e-08,-1.541162011990199476e-01
3.885585585585585825e-08,-1.529400188185432996e-01
3.895495495495495591e-08,-1.517757745570147698e-01
3.905405405405405357e-08,-1.506233173347497623e-01
3.915315315315315124e-08,-1.494824983606073687e-01
3.925225225225225551e-08,-1.483531710916475843e-01
3.935135135135135318e-08,-1.472351911935998181e-01
3.945045045045045084e-08,-1.461284165021229930e-01
3.954954954954954850e-08,-1.450327069848409978e-01
3.964864864864865278e-08,-1.439479247041350329e-01
3.974774774774775044e-08,-1.428739337806764487e-01
3.984684684684684810e-08,-1.418106003576828089e-01
3.994594594594594576e-08,-1.407577925658822504e-01
4.004504504504504342e-08,-1.397153804891693163e-01
4.014414414414414770e-08,-1.386832361309374151e-01
4.024324324324324536e-08,-1.376612333810733613e-01
4.034234234234234303e-08,-1.366492479835978990e-01
4.044144144144144069e-08,-1.356471575049401634e-01
4.054054054054054497e-08,-1.346548413028302582e-01
4.063963963963964263e-08,-1.336721804957978765e-01
4.073873873873874029e-08,-1.326990579332620324e-01
4.083783783783783795e-08,-1.317353581662010775e-01
4.093693693693693561e-08,-1.307809674183888493e-01
4.103603603603603989e-08,-1.298357735581850969e-01
4.113513513513513755e-08,-1.288996660708686126e-01
4.123423423423423521e-08,-1.279725360315007165e-01
4.133333333333333287e-08,-1.270542760783080483e-01
4.143243243243243054e-08,-1.261447803865736184e-01
4.153153153153153481e-08,-1.252439446430248238e-01
4.163063063063063248e-08,-1.243516660207084207e-01
4.172972972972973014e-08,-1.234678431543410754e-01
4.182882882882882780e-08,-1.225923761161264863e-01
4.192792792792793208e-08,-1.217251663920286137e-01
4.202702702702702974e-08,-1.208661168584914819e-01
4.212612612612612740e-08,-1.200151317595956196e-01
4.222522522522522506e-08,-1.191721166846430036e-01
4.232432432432432272e-08,-1.183369785461605428e-01
4.242342342342342700e-08,-1.175096255583136379e-01
4.252252252252252466e-08,-1.166899672157215573e-01
4.262162162162162233e-08,-1.158779142726654582e-01
4.272072072072071999e-08,-1.150733787226818627e-01
4.281981981981981765e-08,-1.142762737785327498e-01
4.291891891891892193e-08,-1.134865138525448652e-01
4.301801801801801959e-08,-1.127040145373107982e-01
4.311711711711711725e-08,-1.119286925867434279e-01
4.321621621621621491e-08,-1.111604658974778281e-01
4.331531531531531919e-08,-1.103992534906124007e-01
4.341441441441441685e-08,-1.096449754937829230e-01
