Rvals*1e9, Energy (GHz)
1.660927822510935812e+02,-1.958115463517540178e-03
1.664095469878109839e+02,-1.946954769817210718e-03
1.667263117245283297e+02,-1.935878732211016029e-03
1.670430764612457040e+02,-1.924886549550031134e-03
1.673598411979631067e+02,-1.913977429770064020e-03
1.676766059346804809e+02,-1.903150589764646128e-03
1.679933706713978268e+02,-1.892405255271345510e-03
1.683101354081152294e+02,-1.881740660755859551e-03
1.686269001448326037e+02,-1.871156049292999057e-03
1.689436648815500064e+02,-1.860650672459218669e-03
1.692604296182673522e+02,-1.850223790218930020e-03
1.695771943549847265e+02,-1.839874670813479440e-03
1.698939590917021292e+02,-1.829602590658119254e-03
1.702107238284195034e+02,-1.819406834228765035e-03
1.705274885651368493e+02,-1.809286693965628245e-03
1.708442533018542520e+02,-1.799241470161305756e-03
1.711610180385716262e+02,-1.789270470867521112e-03
1.714777827752890005e+02,-1.779373011788099035e-03
1.717945475120063747e+02,-1.769548416185262596e-03
1.721113122487237490e+02,-1.759796014780157236e-03
1.724280769854411517e+02,-1.750115145656483406e-03
1.727448417221585260e+02,-1.740505154168570101e-03
1.730616064588758718e+02,-1.730965392845451589e-03
1.733783711955932745e+02,-1.721495221302937750e-03
1.736951359323106487e+02,-1.712094006149911252e-03
1.740119006690280230e+02,-1.702761120899509706e-03
1.743286654057453973e+02,-1.693495945885192810e-03
1.746454301424627715e+02,-1.684297868170148149e-03
1.749621948791801458e+02,-1.675166281463358331e-03
1.752789596158975485e+02,-1.666100586037444486e-03
1.755957243526148943e+02,-1.657100188643401140e-03
1.759124890893322970e+02,-1.648164502430660150e-03
1.762292538260496713e+02,-1.639292946866710565e-03
1.765460185627670455e+02,-1.630484947657162564e-03
1.768627832994844198e+02,-1.621739936667587756e-03
